City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Dikson,73.5069,80.5464,29.84,93,100,16.22,1619029162
Esperance,-33.8667,121.9,59.0,94,90,4.61,1619029162
El Sauce,12.8869,-86.539,77.0,69,75,11.5,1619029162
Cidreira,-30.1811,-50.2056,71.22,66,93,17.22,1619029163
Cherskiy,68.75,161.3,26.55,68,52,17.56,1619029163
Fortuna,40.5982,-124.1573,55.99,93,90,5.75,1619029164
Berlevåg,70.8578,29.0864,41.0,75,0,8.05,1619029164
Kapaa,22.0752,-159.319,77.0,78,1,5.75,1619029164
San Cosme y Damián,-27.3167,-56.35,84.2,51,20,6.91,1619029165
Lagoa,39.05,-27.9833,63.39,91,100,32.82,1619029165
Porto Nacional,-10.7081,-48.4172,82.4,78,75,2.3,1619029166
Yellowknife,62.456,-114.3525,24.01,63,90,21.85,1619029166
Leningradskiy,69.3833,178.4167,22.71,62,28,7.9,1619029166
Taltal,-25.4,-70.4833,68.2,64,7,6.08,1619029167
Manaia,-39.55,174.1333,51.01,90,88,3.0,1619029167
Bani Walid,31.7566,13.9942,70.47,31,0,19.84,1619029168
Thompson,55.7435,-97.8558,48.2,31,1,9.22,1619029032
Yibin,28.7667,104.6238,69.26,77,99,0.63,1619029168
Lagos,6.5833,3.75,86.0,79,20,8.05,1619029115
Beringovskiy,63.05,179.3167,14.72,87,87,3.71,1619029169
Bethel,41.3712,-73.414,64.4,55,20,10.36,1619029169
George Town,5.4112,100.3354,84.0,89,40,2.3,1619029169
Sola,-13.8833,167.55,77.0,100,20,10.87,1619029170
Shizunai-furukawachō,42.3339,142.3669,40.12,69,8,22.88,1619029170
Akureyri,65.6835,-18.0878,46.4,53,20,10.36,1619029149
Shakawe,-18.3667,21.85,67.5,47,0,6.06,1619029171
Chui,-33.6971,-53.4616,72.48,61,22,17.11,1619029171
Saint-Ambroise,48.5501,-71.3324,37.0,51,98,11.5,1619029172
Jamestown,42.097,-79.2353,32.0,80,90,19.57,1619029153
Deputatsky,69.3,139.9,2.48,94,100,5.44,1619029172
Eureka,40.8021,-124.1637,55.99,81,75,10.36,1619028926
Coffs Harbour,-30.3,153.1333,48.99,93,0,4.61,1619029173
Chivay,-15.6383,-71.6011,57.29,43,41,6.82,1619029174
Gonder,12.6,37.4667,68.76,38,97,4.72,1619029174
Saskylakh,71.9167,114.0833,-9.83,100,73,5.12,1619029174
Griffith,41.5284,-87.4237,48.2,40,75,13.8,1619029175
Jalu,29.0331,21.5482,75.02,19,63,7.87,1619029175
Santiago de Cao,-7.9589,-79.2392,66.2,88,75,10.36,1619029175
Ilhabela,-23.7781,-45.3581,73.42,78,34,7.11,1619029176
Lerwick,60.1545,-1.1494,44.6,61,75,9.22,1619029176
Hobart,-42.8794,147.3294,53.6,66,75,5.75,1619029177
Sitka,57.0531,-135.33,46.4,71,20,6.91,1619029055
Hermanus,-34.4187,19.2345,66.0,82,82,8.01,1619029177
Lompoc,34.6391,-120.4579,55.4,71,98,9.22,1619029178
Port Alfred,-33.5906,26.891,69.91,83,94,5.53,1619029178
East London,-33.0153,27.9116,68.0,83,75,19.57,1619029178
Phalodi,27.1333,72.3667,77.31,35,0,8.79,1619029179
Arraial do Cabo,-22.9661,-42.0278,75.2,78,40,14.97,1619029179
Avarua,-21.2078,-159.775,78.8,73,75,12.66,1619029180
Umm Kaddadah,13.6017,26.6876,89.15,8,18,10.65,1619029180
Morro Bay,35.3658,-120.8499,54.0,87,62,3.0,1619029181
Noshiro,40.2039,140.0242,43.59,76,0,0.38,1619029181
Geraldton,-28.7667,114.6,66.2,52,71,4.61,1619029182
Mar del Plata,-38.0023,-57.5575,69.8,94,40,23.02,1619029182
Mergen,49.1833,125.2167,57.61,58,97,9.69,1619029182
Araouane,18.9048,-3.5265,96.64,6,100,9.4,1619029183
St. George's,12.0564,-61.7485,84.2,61,20,23.02,1619029183
Portland,45.5234,-122.6762,66.99,51,40,2.1,1619029090
Bahía Honda,22.9036,-83.1592,88.07,53,100,5.03,1619029184
Nouadhibou,20.931,-17.0347,69.8,73,2,24.16,1619029184
Kampot,10.6167,104.1833,80.6,89,40,2.3,1619029185
Salalah,17.0151,54.0924,81.12,74,98,5.46,1619029185
Sterling,39.0062,-77.4286,55.0,43,75,27.63,1619029166
Roald,62.5833,6.1333,39.2,81,75,8.05,1619029185
Ulkan,57.243,107.3223,11.03,96,29,2.28,1619029186
Kruisfontein,-34.0033,24.7314,64.0,92,78,1.01,1619029186
Olden,61.8364,6.8064,39.2,75,75,12.66,1619029187
San Patricio,28.017,-97.5169,68.0,45,90,8.05,1619029187
San Cristobal,7.7669,-72.225,89.6,48,40,14.97,1619029188
Samur,41.8253,48.486,54.25,85,71,11.9,1619029188
Labuhan,-6.8844,112.2051,76.05,80,52,5.17,1619029189
Caceres,39.522,-6.3748,53.19,91,100,3.49,1619029189
Domažlice,49.4405,12.9298,53.6,62,40,8.05,1619029189
Ilabaya,-17.4208,-70.5133,75.13,48,1,11.59,1619029190
Aykhal,66.0,111.5,1.87,96,91,4.83,1619029157
Faya,18.3851,42.4509,69.8,48,0,4.61,1619029190
Golden,39.7555,-105.2211,34.0,86,90,11.5,1619028965
Saldanha,-33.0117,17.9442,60.8,77,51,1.14,1619029191
Ribeira Grande,38.5167,-28.7,64.4,94,75,24.16,1619029191
Chokurdakh,70.6333,147.9167,16.79,95,100,10.74,1619029192
Örkény,47.1299,19.4332,59.0,58,0,4.61,1619029192
Vredendal,-31.6683,18.5012,64.56,66,36,5.12,1619029193
Kavieng,-2.5744,150.7967,79.77,81,98,7.76,1619029193
Lavrentiya,65.5833,-171.0,20.26,61,88,4.12,1619029193
Kamenka,51.3223,42.7678,45.0,90,77,7.36,1619029194
Ust-Kuyga,70.0167,135.6,-11.45,99,87,3.09,1619029194
Touros,-5.1989,-35.4608,86.0,66,40,13.8,1619029195
Castro Verde Municipality,37.6983,-8.0858,62.6,72,75,12.66,1619029173
Skjervøy,70.0311,20.9714,35.6,80,75,9.22,1619029195
Nambucca Heads,-30.65,153.0,48.99,93,0,4.61,1619029196
Bredasdorp,-34.5322,20.0403,62.6,88,81,10.36,1619029196
Biltine,14.5333,20.9167,94.23,6,51,8.75,1619029196
Dabola,10.75,-11.1167,86.68,46,59,9.57,1619029197
Saint-Philippe,-21.3585,55.7679,77.0,83,90,17.27,1619029197
Puerto del Rosario,28.5004,-13.8627,69.8,68,20,14.97,1619029198
Vanavara,60.34,102.2797,7.54,96,64,1.28,1619029198
Candolim,15.5181,73.7626,84.2,79,20,6.91,1619029198
Coyhaique,-45.5752,-72.0662,55.4,58,75,5.75,1619029023
La Asuncion,11.0333,-63.8628,80.83,70,12,16.53,1619029042
Qaanaaq,77.484,-69.3632,13.55,71,100,9.08,1619029199
Ushtobe,45.2514,77.9838,24.66,82,90,2.26,1619029199
Marsaxlokk,35.8419,14.5431,63.0,94,75,14.97,1619029200
Kununurra,-15.7667,128.7333,66.2,94,5,3.44,1619029200
Aklavik,68.2191,-135.0107,23.0,54,75,2.3,1619029201
Carnarvon,-24.8667,113.6333,68.0,83,70,8.05,1619029057
Gombe,10.2897,11.1673,93.11,28,97,3.6,1619029201
Kedrovyy,56.1667,91.8167,19.4,68,0,2.24,1619029202
Cache Creek,50.8101,-121.3246,57.2,23,1,6.91,1619029202
Chambishi,-12.6325,28.0537,64.99,78,98,4.76,1619029202
Airai,-8.9266,125.4092,58.5,95,92,2.51,1619029203
Ucluelet,48.9329,-125.5528,48.2,100,90,4.61,1619029065
Hilo,19.7297,-155.09,75.2,69,90,3.44,1619029203
Leopold,-38.1833,144.4667,51.8,66,40,11.5,1619029204
Ilulissat,69.2167,-51.1,24.8,54,1,8.05,1619029204
Springbok,-29.6643,17.8865,66.99,40,36,2.68,1619029205
Trincomalee,8.5711,81.2335,80.87,80,78,7.02,1619029205
Srednekolymsk,67.45,153.6833,22.96,77,20,9.13,1619029205
Narsaq,60.9167,-46.05,48.2,29,75,25.32,1619029206
Khatanga,71.9667,102.5,7.86,91,100,13.67,1619029206
Upernavik,72.7868,-56.1549,18.41,69,71,6.58,1619029207
Anadyr,64.75,177.4833,8.6,85,41,6.71,1619029207
Russell,32.3502,-85.1999,68.0,40,1,16.11,1619029208
Rokytne,51.2796,27.214,47.97,80,92,6.64,1619029208
Butaritari,3.0707,172.7902,82.54,77,100,16.78,1619029208
Marabu,4.4148,114.0089,75.0,94,40,3.44,1619029209
Yangi Marg`ilon,40.4272,71.7189,51.8,62,18,4.61,1619029209
Hong Kong,22.2855,114.1577,73.99,83,0,6.13,1619029210
Ca Mau,9.1769,105.15,80.15,84,98,4.5,1619029210
Tura,25.5198,90.2201,69.12,91,100,8.55,1619029211
Sidi Ali,36.0998,0.4206,60.33,77,81,10.07,1619029211
Ende,-8.8432,121.6623,75.45,84,82,2.86,1619029211
Rodeo,38.033,-122.2669,66.99,48,1,11.5,1619029212
Ranong,9.9658,98.6348,81.28,78,86,5.21,1619029212
Sochi,43.6,39.7303,51.8,87,40,4.47,1619029212
Muyuka,4.2898,9.4103,87.8,70,40,3.44,1619029213
Praia,14.9215,-23.5087,77.0,53,75,17.27,1619029213
Tsiroanomandidy,-18.7667,46.0333,68.0,87,72,1.12,1619029214
Sandūr,15.1,76.55,81.95,61,50,16.35,1619029214
Grindavik,63.8424,-22.4338,44.6,76,90,14.97,1619029214
Klaksvík,62.2266,-6.589,42.8,75,75,14.97,1619029215
Clyde River,70.4692,-68.5914,10.4,92,75,12.66,1619029216
Salym,60.0625,71.4789,25.03,88,11,3.74,1619029216
Kurumkan,54.3,110.3,22.1,52,50,4.27,1619029217
Macklin,52.3334,-109.9348,62.6,23,7,17.27,1619029217
Comodoro Rivadavia,-45.8667,-67.5,60.8,48,0,17.27,1619029198
Acapulco de Juárez,16.8634,-99.8901,87.8,55,40,3.44,1619029218
Taoudenni,22.6783,-3.9836,97.97,6,1,11.1,1619029108
Avera,33.194,-82.5271,75.99,35,40,17.27,1619029218
Alta Floresta,-9.8756,-56.0861,84.2,79,40,4.61,1619029219
Nikolskoye,59.7035,30.7861,36.0,93,75,4.47,1619029219
Santa,17.486,120.4348,77.34,84,100,9.71,1619029219
Te Anau,-45.4167,167.7167,47.12,93,79,1.28,1619029220
Yaan,7.3833,8.5667,89.92,48,54,7.58,1619029220
Atar,20.5169,-13.0499,98.6,22,7,11.5,1619029221
Sørland,67.667,12.6934,37.4,70,40,13.8,1619029221
Souillac,-20.5167,57.5167,77.0,94,75,8.05,1619029150
Seminole,28.7086,-81.2081,84.99,58,19,1.99,1619029222
Koslan,63.4564,48.8989,48.83,41,100,12.88,1619029222
Tornio,65.8481,24.1466,41.0,60,0,2.3,1619029223
‘Ewa Beach,21.3156,-158.0072,78.8,61,1,5.75,1619029223
Evensk,61.95,159.2333,24.01,85,100,9.22,1619029223
Cabo San Lucas,22.8909,-109.9124,84.2,36,1,4.61,1619028970
Bathsheba,13.2167,-59.5167,80.6,57,75,23.02,1619029224
Chibombo,-14.6569,28.0706,62.46,71,43,6.06,1619029225
Buraidah,26.326,43.975,87.8,18,0,3.44,1619029225
Kainantu,-6.2887,145.8655,60.17,95,100,3.38,1619029225
Narón,43.5167,-8.1528,57.2,94,20,1.14,1619029226
Ternate,0.8,127.4,81.45,78,40,1.79,1619029226
Chicama,-7.8447,-79.1469,66.2,88,75,10.36,1619029034
Denpasar,-8.65,115.2167,78.8,78,20,5.75,1619029044
Sinnamary,5.3833,-52.95,79.81,85,53,11.68,1619029227
Karratha,-20.7377,116.8463,78.31,52,1,8.55,1619029227
Fort Nelson,58.8053,-122.7002,28.4,74,90,19.57,1619029228
Oyem,1.5995,11.5793,71.29,87,95,2.19,1619029212
El Tigre,8.8875,-64.2454,92.55,29,24,9.64,1619029228
Belawan,3.7755,98.6832,77.0,100,40,5.75,1619029229
Narrabri,-30.3167,149.7833,37.4,81,0,3.87,1619029229
Phalaborwa,-23.943,31.1411,69.8,56,1,4.61,1619029141
Creel,27.75,-107.6333,63.59,16,23,13.47,1619029230
Vardø,70.3705,31.1107,41.0,60,0,13.8,1619029230
Irtyshskiy,58.3333,68.1333,34.97,74,2,6.31,1619029231
Mountain Home,43.133,-115.6912,53.6,20,1,6.91,1619029231
Port Elizabeth,-33.918,25.5701,68.0,88,40,10.36,1619029231
Mitsamiouli,-11.3847,43.2844,81.64,74,85,11.43,1619029232
Mount Gambier,-37.8333,140.7667,50.0,100,75,10.36,1619029232
Hambantota,6.1241,81.1185,80.01,82,49,11.88,1619029168
Hasaki,35.7333,140.8333,46.4,93,0,1.14,1619029233
Codrington,-38.2667,141.9667,50.18,90,64,10.29,1619029233
Okhotsk,59.3833,143.3,27.25,97,100,3.31,1619029234
Lorengau,-2.0226,147.2712,81.91,80,98,7.4,1619029234
Clearlake,38.9582,-122.6264,72.0,39,0,1.99,1619029234
Soyo,-6.1349,12.3689,80.69,87,42,8.93,1619029235
Kahului,20.8947,-156.47,75.2,83,20,6.22,1619029126
Durban,-29.8579,31.0292,73.0,94,40,4.59,1619029222
Vao,-22.6667,167.4833,74.3,70,79,5.86,1619029236
Upata,8.0086,-62.3989,94.93,27,45,5.61,1619029236
Copacabana,6.3463,-75.5089,71.6,56,75,9.22,1619029237
Segezha,63.7415,34.3222,34.65,97,100,7.31,1619029152
Muisne,0.6,-80.0333,82.4,83,40,3.44,1619029237
Kutum,14.2,24.6667,84.67,8,37,8.3,1619029238
Longyearbyen,78.2186,15.6401,24.8,68,75,11.5,1619029238
Belle Fourche,44.6714,-103.8522,41.0,42,1,5.01,1619029238
Władysławowo,54.7909,18.4009,46.99,61,20,16.11,1619029239
Pitimbu,-7.4706,-34.8086,86.0,62,20,9.22,1619029239
Port Augusta,-32.5,137.7667,57.2,67,90,6.91,1619029240
Goderich,43.7501,-81.7165,33.8,69,87,16.11,1619029240
Ballina,-28.8667,153.5667,55.99,94,2,7.25,1619029240
Chapais,49.7834,-74.8492,23.0,54,90,8.05,1619029241
Haines Junction,60.7522,-137.5108,39.2,30,14,4.61,1619029241
Georgiyevka,43.0369,74.7114,35.6,93,75,6.71,1619029242
Trogir,43.5125,16.2517,55.99,71,20,2.3,1619029242
Hokitika,-42.7167,170.9667,53.87,84,61,4.63,1619029242
Normandin,48.8333,-72.5321,32.0,50,100,8.05,1619029243
Turbat,26.0023,63.044,87.04,26,1,5.21,1619029243
Mumbwa,-14.9783,27.0619,66.85,60,42,5.48,1619029244
Chunoyar,57.4467,97.3217,13.98,98,86,3.36,1619029244
Ahipara,-35.1667,173.1667,59.99,78,100,4.45,1619029244
La Libertad,-2.2333,-80.9,82.4,69,0,8.05,1619029245
Nanhai,30.1282,111.7784,60.01,96,100,5.61,1619029245
Marquette,46.5333,-87.6335,35.01,63,91,7.27,1619029246
Orangeburg,33.4918,-80.8557,81.0,27,1,19.57,1619029246
Salisbury,51.0693,-1.7957,55.99,58,68,12.66,1619029247
Umarkot,25.3616,69.7362,84.56,44,1,9.37,1619029247
Suntar,62.1444,117.6319,13.57,95,100,3.65,1619029247
Alghero,40.5589,8.3181,57.2,88,20,5.75,1619029248
Matão,-21.6033,-48.3658,80.55,36,0,9.15,1619029187
Sangerhausen,51.4667,11.3,54.0,58,0,10.36,1619029248
Ambovombe,-25.1667,46.0833,71.6,82,63,17.02,1619029249
Egvekinot,66.3167,-179.1667,13.98,60,45,3.8,1619029249
Margate,51.3813,1.3862,46.0,67,8,5.99,1619029250
Fairbanks,64.8378,-147.7164,39.0,47,20,3.44,1619029192
Kumëny,58.1089,49.9161,35.04,96,100,18.07,1619029250
Vestmannaeyjar,63.4427,-20.2734,44.6,76,75,8.05,1619029250
Gāndhīdhām,23.0833,70.1333,82.56,61,7,13.35,1619029251
Mareeba,-17.0,145.4333,75.2,88,90,2.3,1619029251
Inuvik,68.3499,-133.7218,21.2,58,42,18.41,1619029252
Dalmatovo,56.26,62.9362,47.23,53,5,5.57,1619029252
Blagoyevo,63.3667,47.9167,47.95,44,100,14.54,1619029253
Pangnirtung,66.1451,-65.7125,28.4,69,90,20.71,1619029253
Zhicheng,30.2956,111.5047,60.01,96,100,1.72,1619029253
Iwanai,42.9744,140.5089,36.54,71,0,2.86,1619029254
Pisco,-13.7,-76.2167,73.4,64,0,21.85,1619029254
Bubaque,11.2833,-15.8333,78.46,70,91,18.43,1619029255
Peace River,56.2501,-117.286,59.0,36,90,18.41,1619029255
Miles City,46.4083,-105.8406,44.6,33,1,11.5,1619029255
Najrān,17.4924,44.1277,80.6,17,0,4.61,1619029156
Nago,26.5881,127.9761,69.8,88,90,16.11,1619029256
Kuusamo,65.9667,29.1833,42.8,39,0,4.61,1619029256
Ancud,-41.8697,-73.8203,57.99,76,75,8.05,1619029257
Dingle,10.9995,122.6711,78.24,81,100,7.85,1619029257
Brae,60.3964,-1.353,44.6,61,75,9.22,1619029258
Grand Island,40.925,-98.342,41.0,36,90,11.5,1619029022
Breyten,-26.3018,29.987,54.14,54,77,5.61,1619029258
Mizdah,31.4451,12.9801,76.03,23,0,16.84,1619029259
Tanout,14.9709,8.8879,93.87,5,38,8.66,1619029259
Kongolo,-5.3833,27.0,70.36,97,100,2.68,1619029260
Hlotse,-28.8718,28.045,55.6,50,58,1.7,1619029260
Carauari,-4.8828,-66.8958,86.72,67,86,1.81,1619029260
Lancaster,40.2504,-76.2499,48.99,61,40,26.46,1619028968
Bambous Virieux,-20.3428,57.7575,77.0,94,75,8.05,1619029261
San Fernando del Valle de Catamarca,-28.4696,-65.7852,87.01,58,39,1.99,1619029262
Yarqā,31.9785,35.6947,68.0,14,100,5.75,1619029262
Bell Ville,-32.6259,-62.6887,68.31,80,97,10.85,1619029262
Ndola,-12.9587,28.6366,66.99,77,100,10.0,1619029263
Dongsheng,39.8161,109.9776,49.78,84,91,13.67,1619029263
Yārāda,17.65,83.2667,84.2,79,75,5.75,1619029264
George Town,5.4112,100.3354,84.0,89,40,2.3,1619029176
Ruska Poliana,49.417,31.9201,46.35,71,84,7.29,1619029264
Beruwala,6.4788,79.9828,80.56,80,97,3.67,1619029264
Manthani,18.65,79.6667,85.44,53,93,4.23,1619029265
Tonj,7.2737,28.6822,86.85,42,96,5.23,1619029265
Jerantut,3.936,102.3626,74.89,97,100,1.41,1619029266
Örebro,59.2741,15.2066,46.4,53,0,5.75,1619029266
Zlobin,45.2924,14.6541,53.6,82,0,2.3,1619029267
Edmundston,47.3737,-68.3251,37.4,87,100,2.3,1619029267
Pacific Grove,36.6177,-121.9166,53.6,82,90,5.75,1619029267
Hofn,64.2539,-15.2082,42.8,56,20,3.44,1619029268
Dhidhdhoo,6.8833,73.1,84.31,68,79,6.26,1619029268
Atikokan,48.7555,-91.6216,37.67,29,58,6.93,1619029268
Weatherford,32.7593,-97.7972,55.99,36,35,4.0,1619028711
Isangel,-19.55,169.2667,77.5,87,56,5.93,1619029269
Saint George,37.1041,-113.5841,77.0,7,1,20.71,1619029269
Newnan,33.3807,-84.7997,59.0,36,1,13.8,1619029270
Ixtapa,20.7,-105.2,82.4,54,1,8.05,1619029270
Salina Cruz,16.1667,-95.2,94.41,43,62,23.04,1619029271
Kataysk,56.289,62.5841,47.28,51,7,4.97,1619029271
Bystryy Istok,52.371,84.3873,28.09,63,77,3.89,1619029272
Svetlaya,46.5389,138.3297,36.25,74,4,1.21,1619029272
Coari,-4.085,-63.1414,81.93,77,98,4.07,1619029273
Newport,51.5877,-2.9984,55.99,58,66,13.8,1619029273
Dunedin,-45.8742,170.5036,51.01,97,100,2.95,1619029273
Moose Factory,51.2585,-80.6094,24.8,54,90,8.05,1619029274
Anagé,-14.6122,-41.1356,83.95,54,76,3.49,1619029274
Tuatapere,-46.1333,167.6833,46.99,97,87,2.84,1619029275
São Filipe,14.8961,-24.4956,73.22,71,100,10.65,1619029275
Kavaratti,10.5669,72.642,84.49,67,49,8.01,1619029275
Skibbereen,51.55,-9.2667,51.8,76,20,12.66,1619029276
Waipawa,-41.4122,175.5153,51.8,93,54,3.44,1619029276
At-Bashi,41.1702,75.8106,37.0,73,88,3.89,1619029277
Beira,-19.8436,34.8389,77.0,69,75,10.94,1619029277
Porto-Novo,6.4965,2.6036,86.0,79,20,16.11,1619029277
Kieta,-6.2167,155.6333,78.69,82,78,1.48,1619029278
Jining,35.405,116.5814,52.77,93,100,5.5,1619029278
Brownsville,25.9018,-97.4975,73.4,60,90,18.41,1619029149
Elizabeth City,36.2946,-76.2511,78.8,38,20,20.71,1619029279
Necochea,-38.5473,-58.7368,77.0,49,25,25.99,1619029279
Walvis Bay,-22.9575,14.5053,75.2,50,91,3.44,1619029279
San Quintín,30.4833,-115.95,61.43,61,71,11.72,1619029280
Derzhavīnsk,51.1,66.3167,44.19,54,5,6.64,1619029280
Lingao,19.9103,109.6859,75.36,83,1,10.38,1619029281
Balkanabat,39.5108,54.3671,78.03,27,51,24.05,1619029281
Padang,-0.9492,100.3543,76.78,88,87,2.62,1619029281
Auki,-8.7676,160.7034,77.2,86,58,2.53,1619029282
Kamaishi,39.2667,141.8833,43.57,62,0,9.93,1619029282
Mazagão,-0.115,-51.2894,87.8,66,40,9.22,1619029283
Grand Gaube,-20.0064,57.6608,77.0,85,97,1.99,1619029283
Karaton,-6.3424,106.1045,81.0,83,20,9.22,1619029283
Bend,44.0582,-121.3153,55.99,21,1,8.05,1619029141
Pinawa,50.1489,-95.8811,44.47,47,93,6.13,1619029284
Algeciras,36.1333,-5.4505,66.2,59,0,16.11,1619029284
Norman Wells,65.282,-126.8329,23.0,68,75,20.71,1619029285
Maiduguri,11.8464,13.1603,94.75,6,72,9.48,1619029285
Fukuechō,32.6881,128.8419,64.65,57,65,2.51,1619029286
Katsuura,35.1333,140.3,59.0,31,0,10.36,1619029286
Suez,29.9737,32.5263,65.1,55,93,15.46,1619029286
Takhtamygda,54.1,123.5667,29.61,95,95,4.41,1619029287
São Sebastião,-23.76,-45.4097,73.56,78,41,6.73,1619029288
Iisalmi,63.5592,27.1907,41.0,70,100,4.61,1619029288
College,64.8569,-147.8028,39.0,47,20,3.44,1619029289
Naze,28.3667,129.4833,65.44,70,15,16.46,1619029289
Bereda,43.2686,-7.5406,54.0,97,100,3.0,1619029289
Los Llanos de Aridane,28.6585,-17.9182,69.8,64,75,9.22,1619029206
Muravlenko,63.7898,74.523,15.42,90,75,10.49,1619029290
Torbat-e Jām,35.244,60.6225,68.7,35,8,7.11,1619029290
Magadan,59.5667,150.8,30.45,97,100,7.72,1619029290
Kralendijk,12.15,-68.2667,86.0,62,40,18.41,1619029291
Alofi,-19.0595,-169.9187,75.2,94,34,4.61,1619029291
Wanaka,-44.7,169.15,42.01,98,15,1.01,1619029247
Rio Claro,-22.4114,-47.5614,84.0,44,20,9.22,1619029276
Hamilton,39.1834,-84.5333,43.0,52,75,11.5,1619029247
Gmina Szubin,53.0097,17.74,54.0,50,0,9.22,1619029292
La Santisima Trinidad,-14.8333,-64.9,80.6,94,75,9.22,1619029244
Henties Bay,-22.116,14.2845,69.01,78,75,7.0,1619029292
Vestmanna,62.1564,-7.1664,42.8,75,75,14.97,1619029293
Madingou,-4.1536,13.55,77.47,87,91,0.98,1619029293
Lázaro Cárdenas,17.9583,-102.2,86.65,28,1,9.57,1619029294
Ganzhou,28.8184,115.4327,69.98,93,73,2.15,1619029294
Faanui,-16.4833,-151.75,81.59,74,25,13.4,1619029294
Iqaluit,63.7506,-68.5145,32.0,93,90,34.52,1619029295
Toamasina,-18.1667,49.3833,77.0,88,75,6.91,1619029295
Arroyo de la Encomienda,41.6096,-4.7969,61.0,54,0,2.3,1619029296
Monticello,45.3055,-93.7941,39.0,44,90,10.65,1619029296
Bull Savanna,17.8868,-77.5902,83.84,58,5,19.08,1619029296
Princeton,25.5384,-80.4089,88.0,58,40,11.5,1619029260
Olafsvik,64.8945,-23.7142,42.21,83,100,6.08,1619029297
La Ronge,55.1001,-105.2842,59.0,21,8,5.75,1619029297
Mahajanga,-15.7167,46.3167,80.6,69,40,5.75,1619029298
Pesca,5.55,-73.05,61.0,57,97,5.14,1619029298
